Title,Director,Rating,Synopsis,Release Date,Runtime
Sound of Freedom,Alejandro Monteverde,8.00 out of 10,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","July 03, 2023",2h 11m
Spider-Man: Across the Spider-Verse,Justin K. Thompson,8.35 out of 10,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","May 31, 2023",2h 20m
Spider-Man: Into the Spider-Verse,Bob Persichetti,8.40 out of 10,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","December 06, 2018",1h 57m
Spirited Away,Hayao Miyazaki,8.50 out of 10,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.","July 20, 2001",2h 5m
Stalker,Andrei Tarkovsky,8.15 out of 10,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.","May 25, 1979",2h 42m
Star Wars,George Lucas,8.20 out of 10,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"May 25, 1977",2h 1m
Steven Universe: The Movie,Rebecca Sugar,8.15 out of 10,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.","October 07, 2019",1h 22m
Sunset Boulevard,Billy Wilder,8.30 out of 10,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,"August 10, 1950",1h 50m
Tae Guk Gi: The Brotherhood of War,Kang Je-kyu,8.01 out of 10,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","February 05, 2004",2h 28m
Taxi Driver,Martin Scorsese,8.10 out of 10,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"February 09, 1976",1h 54m
TAYLOR SWIFT | THE ERAS TOUR,Sam Wrench,8.30 out of 10,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.","October 13, 2023",2h 49m
Taylor Swift: Reputation Stadium Tour,Paul Dugdale,8.31 out of 10,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.","December 31, 2018",2h 5m
Terminator 2: Judgment Day,James Cameron,8.12 out of 10,"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.","July 03, 1991",2h 17m
The 400 Blows,François Truffaut,8.00 out of 10,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.","June 03, 1959",1h 39m
The Apartment,Billy Wilder,8.20 out of 10,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.","June 21, 1960",2h 5m
The Art of Racing in the Rain,Simon Curtis,8.19 out of 10,"A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.","August 08, 2019",1h 49m
The Best of Youth,Marco Tullio Giordana,8.10 out of 10,"After a fateful encounter in the summer of 1966, the lives of two brothers from a middle-class Roman family take different directions, intersecting with some of the most significant events of postwar Italian history in the following decades.","June 22, 2003",6h 7m
"The Boy, the Mole, the Fox and the Horse",Peter Baynton,8.30 out of 10,"The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.","December 25, 2022",0h 35m
The Count of Monte Cristo,Alexandre de La Patellière,8.20 out of 10,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.","June 28, 2024",2h 58m
The Dark Knight,Christopher Nolan,8.52 out of 10,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","July 16, 2008",2h 32m
The Deer Hunter,Michael Cimino,8.00 out of 10,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.","December 08, 1978",3h 3m
The Departed,Martin Scorsese,8.16 out of 10,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","October 04, 2006",2h 31m
The Elephant Man,David Lynch,8.00 out of 10,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.","October 09, 1980",2h 4m
The Empire Strikes Back,Irvin Kershner,8.40 out of 10,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","May 20, 1980",2h 4m
The Father,Florian Zeller,8.10 out of 10,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","December 23, 2020",1h 37m
The Godfather,Francis Ford Coppola,8.70 out of 10,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","March 14, 1972",2h 55m
The Godfather Part II,Francis Ford Coppola,8.60 out of 10,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","December 20, 1974",3h 22m
"The Good, the Bad and the Ugly",Sergio Leone,8.50 out of 10,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","December 22, 1966",2h 41m
The Grand Budapest Hotel,Wes Anderson,8.05 out of 10,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.","February 26, 2014",1h 40m
The Great Dictator,Charlie Chaplin,8.30 out of 10,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"October 15, 1940",2h 5m
The Great War,Mario Monicelli,8.10 out of 10,"Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.","October 28, 1959",2h 17m
The Green Mile,Frank Darabont,8.51 out of 10,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","December 10, 1999",3h 9m
The Handmaiden,Park Chan-wook,8.22 out of 10,"In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.","June 01, 2016",2h 25m
The Hate U Give,George Tillman Jr.,8.10 out of 10,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.","October 19, 2018",2h 13m
The Help,Tate Taylor,8.21 out of 10,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.","August 09, 2011",2h 26m
The Hunt,Thomas Vinterberg,8.10 out of 10,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","June 13, 2012",1h 56m
The Imitation Game,Morten Tyldum,8.00 out of 10,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.","November 14, 2014",1h 53m
The Intouchables,Éric Toledano,8.30 out of 10,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,"November 02, 2011",1h 53m
The Invisible Guest,Oriol Paulo,8.11 out of 10,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.","January 06, 2017",1h 47m
The Kid,Charlie Chaplin,8.20 out of 10,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,"January 21, 1921",1h 8m
The Legend of 1900,Giuseppe Tornatore,8.26 out of 10,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.","October 28, 1998",2h 50m
The Legend of Hei,MTJJ,8.40 out of 10,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.","August 27, 2019",1h 42m
The Lion King,Roger Allers,8.30 out of 10,"Young lion prince Simba flees when his father is killed by his usurper uncle. Years after the betrayal and tragedy, a grown-up and mature Simba returns to claim his rightful place on the throne.","June 24, 1994",1h 29m
The Lives of Others,Florian Henckel von Donnersmarck,8.03 out of 10,"In 1984 East Berlin, an agent of the Stasi secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","March 23, 2006",2h 17m
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,8.42 out of 10,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.","December 18, 2001",2h 59m
The Lord of the Rings: The Return of the King,Peter Jackson,8.50 out of 10,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​","December 17, 2003",3h 21m
The Lord of the Rings: The Two Towers,Peter Jackson,8.40 out of 10,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","December 18, 2002",2h 59m
The Matrix,Lana Wachowski,8.22 out of 10,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","March 31, 1999",2h 16m
The Passion of Joan of Arc,Carl Theodor Dreyer,8.00 out of 10,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.","April 21, 1928",1h 22m
The Pianist,Roman Polanski,8.38 out of 10,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","September 17, 2002",2h 30m
The Prestige,Christopher Nolan,8.20 out of 10,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.","October 17, 2006",2h 10m
The Quintessential Quintuplets Movie,Masato Jimbo,8.30 out of 10,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?","May 20, 2022",2h 16m
The Second Mother,Anna Muylaert,8.00 out of 10,"After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in São Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinho’s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However, Jessica has not been raised to be a servant and her very existence will turn Val’s routine on its head. With precision and humour, the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up.","June 04, 2015",1h 52m
The Secret in Their Eyes,Juan José Campanella,8.00 out of 10,"Hoping to put to rest years of unease concerning a past case, retired criminal investigator Benjamín begins writing a novel based on the unsolved mystery of a newlywed’s rape and murder. With the help of a former colleague, judge Irene, he attempts to make sense of the past.","August 13, 2009",2h 10m
The Seventh Seal,Ingmar Bergman,8.19 out of 10,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.","February 16, 1957",1h 36m
The Shawshank Redemption,Frank Darabont,8.70 out of 10,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","September 23, 1994",2h 22m
The Shining,Stanley Kubrick,8.20 out of 10,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","May 23, 1980",2h 24m
The Shop Around the Corner,Ernst Lubitsch,8.15 out of 10,"Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.","January 12, 1940",1h 39m
The Silence of the Lambs,Jonathan Demme,8.35 out of 10,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","February 14, 1991",1h 59m
The Sting,George Roy Hill,8.00 out of 10,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,"December 25, 1973",2h 9m
The Tale of The Princess Kaguya,Isao Takahata,8.10 out of 10,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.","November 23, 2013",2h 17m
The Thing,John Carpenter,8.10 out of 10,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.","June 25, 1982",1h 49m
The Truman Show,Peter Weir,8.10 out of 10,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.","June 04, 1998",1h 43m
The Usual Suspects,Bryan Singer,8.18 out of 10,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","July 19, 1995",1h 46m
The Wages of Fear,Henri-Georges Clouzot,8.00 out of 10,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.","April 22, 1953",2h 33m
The Wild Robot,Chris Sanders,8.39 out of 10,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","September 08, 2024",1h 42m
The Wolf of Wall Street,Martin Scorsese,8.03 out of 10,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.","December 25, 2013",3h 0m
The Young and the Damned,Luis Buñuel,8.04 out of 10,"A group of juvenile delinquents live a violent life in the infamous slums of Mexico City; among them Pedro, whose morality is gradually corrupted and destroyed by the others.","December 09, 1950",1h 22m
There Will Be Blood,Paul Thomas Anderson,8.07 out of 10,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.","December 26, 2007",2h 38m
There's Still Tomorrow,Paola Cortellesi,8.10 out of 10,"In post-war Italy, the family of typical housewife Delia is in turmoil over the impending engagement of beloved firstborn Marcella. The arrival of a mysterious letter, however, will ignite Delia's courage to face her abusive husband and imagine a better future.","October 26, 2023",1h 58m
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,8.10 out of 10,"After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.","December 01, 2017",1h 55m
To Live,Zhang Yimou,8.00 out of 10,"Fugui and Jiazhen endure tumultuous events in China as their personal fortunes move from wealthy landownership to peasantry. Addicted to gambling, Fugui loses everything. In the years that follow he is pressed into both the nationalist and communist armies, while Jiazhen is forced into menial work.","May 18, 1994",2h 13m
Togo,Ericson Core,8.15 out of 10,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.","December 20, 2019",1h 53m
Tokyo Story,Yasujirō Ozu,8.20 out of 10,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.","November 03, 1953",2h 17m
Top Gun: Maverick,Joseph Kosinski,8.20 out of 10,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.","May 21, 2022",2h 11m
"Toto, Peppino, and the Hussy",Camillo Mastrocinque,8.02 out of 10,"Antonio, Peppino and Lucia are three brothers who live in the country near Naples. Lucia's son, Gianni, goes to Naples to study medicine, but there he knows a ballet dancer. They fall in love and, when she goes to Milan, Gianni follows her. Informed of this and afraid that their nephew will stop studying, the three Caponi brothers leave for Milan to persuade Gianni to come back and continue studying and abandon the ""Malafemmina"" (bad girl).","August 23, 1956",1h 41m
Transformers One,Josh Cooley,8.12 out of 10,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.","September 11, 2024",1h 44m
"Veinteañera, divorciada y fantástica",Noé Santillán-López,8.00 out of 10,"Regina, our young protagonist, always dreamed of getting married. And she did it - but the dream lasted much less than she thought and now she has to face life in a very funny way as a divorcee.","February 14, 2020",1h 33m
Vertigo,Alfred Hitchcock,8.20 out of 10,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.","May 28, 1958",2h 8m
Violet Evergarden: Eternity and the Auto Memory Doll,Taichi Ishidate,8.19 out of 10,"Isabella, the daughter of the noble York family, is enrolled in an all-girls academy to be groomed into a dame worthy of nobility. However, she has given up on her future, seeing the prestigious school as nothing more than a prison from the outside world. Her family notices her struggling in her lessons and decides to hire Violet Evergarden to personally tutor her under the guise of a handmaiden.  At first, Isabella treats Violet coldly. Violet seems to be able to do everything perfectly, leading Isabella to assume that she was born with a silver spoon. After some time, Isabella begins to realize that Violet has had her own struggles and starts to open up to her. Isabella soon reveals that she has lost contact with her beloved younger sister, whom she yearns to see again.  Having experienced the power of words through her past clientele, Violet asks if Isabella wishes to write a letter to Taylor. Will Violet be able to help Isabella convey her feelings to her long-lost sister?","September 06, 2019",1h 31m
Violet Evergarden: The Movie,Taichi Ishidate,8.20 out of 10,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.","September 18, 2020",2h 20m
WALL·E,Andrew Stanton,8.10 out of 10,"What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.","June 22, 2008",1h 38m
We All Loved Each Other So Much,Ettore Scola,8.27 out of 10,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.","December 21, 1974",2h 4m
Weathering with You,Makoto Shinkai,8.00 out of 10,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.","June 19, 2019",1h 52m
Whiplash,Damien Chazelle,8.40 out of 10,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","October 10, 2014",1h 47m
Wild Strawberries,Ingmar Bergman,8.10 out of 10,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.","August 28, 1957",1h 31m
Witness for the Prosecution,Billy Wilder,8.20 out of 10,An ailing famous barrister agrees to defend a man in a sensational murder trial where his self-possessed wife's unconvincing testimony confuses him.,"December 17, 1957",1h 56m
Wolf Children,Mamoru Hosoda,8.23 out of 10,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.","July 21, 2012",1h 57m
Wolfwalkers,Tomm Moore,8.20 out of 10,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.","October 26, 2020",1h 43m
Woman in the Dunes,Hiroshi Teshigahara,8.20 out of 10,A vacationing entomologist suffers extreme physical and psychological trauma after being taken captive by the residents of a poor seaside village and made to live with a woman whose life task is shoveling sand for them.,"February 15, 1964",2h 27m
Wonder,Stephen Chbosky,8.13 out of 10,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.","November 13, 2017",1h 53m
Yojimbo,Akira Kurosawa,8.10 out of 10,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.","April 25, 1961",1h 50m
Your Name.,Makoto Shinkai,8.50 out of 10,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","August 26, 2016",1h 46m
Zack Snyder's Justice League,Zack Snyder,8.14 out of 10,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","March 18, 2021",4h 2m
"“The Shorts” by Aldo, Giovanni and Giacomo",Arturo Brachetti,8.10 out of 10,"I Corti (""Shorts"") by Aldo, Giovanni & Giacomo was the first stage show of the comedy trio, with the participation of Marina Massironi. It was recorded live at the Teatro Nuovo in Ferrara on 28 and 29 March 1996. Produced by Agidi, with the theatre direction of Arturo Brachetti.","March 29, 1996",2h 0m
